filename,band_id,x_center,median_l,median_a,median_b,median_c,delta_chroma,std_l,label_id
934.bmp,2,48,14.11,-7.65,17.55,19.14,16.31,6.62,0
935.bmp,0,39,47.43,12.94,26.07,29.1,9.75,7.07,1
935.bmp,1,61,54.49,-1.67,-16.05,16.14,46.34,12.37,6
935.bmp,2,80,69.39,-21.91,32.42,39.13,26.03,3.16,5
936.bmp,0,10,41,3.84,24.55,24.85,1.95,4.43,1
936.bmp,1,30,30.45,-8.58,10.11,13.26,18.42,9.09,0
936.bmp,2,49,46.01,32.69,27.38,42.64,30.77,4.75,2
936.bmp,3,70,69.42,-3.27,27.91,28.1,5.93,4.17,10
937.bmp,0,8,31.06,8.75,22.03,23.71,8.52,3.76,1
937.bmp,1,29,8.82,-5.3,5.34,7.52,22.62,2.36,0
937.bmp,2,49,39.32,32.73,24.7,41.01,31.09,4.04,2
937.bmp,3,71,56.98,-2.16,24.64,24.73,4.46,2.65,10
938.bmp,0,13,70.62,-2.14,32.06,32.13,4.82,1.55,10
938.bmp,1,38,41.14,18.39,28.12,33.6,16.33,1.13,1
938.bmp,2,60,48.83,18.47,-41.62,45.54,75.79,2.37,7
938.bmp,3,79,52.11,42.09,32.38,53.1,39.44,0.89,2
939.bmp,0,18,37.3,-7.55,26.41,27.47,6.94,7.72,10
939.bmp,1,43,19.46,20.34,24.03,31.49,22.77,3.36,2
939.bmp,2,60,21.59,24.41,23.99,34.22,26.81,3.66,2
939.bmp,3,77,33.62,-4.26,1.29,4.45,20.67,4.35,8
940.bmp,0,14,70.7,-4.23,28.97,29.28,12.44,4.93,10
940.bmp,1,39,48.71,42.36,31.44,52.75,48.34,1.96,2
940.bmp,2,56,47.9,43.92,28.97,52.61,49.14,1.59,2
940.bmp,3,78,46.95,5.83,42.33,42.73,27.47,7.4,1
941.bmp,0,12,67.78,-2.53,27.4,27.52,6.63,6.74,10
941.bmp,1,38,66.77,29.38,55.72,62.99,48.18,1.26,3
941.bmp,2,57,44.49,18.17,24.16,30.23,22.35,3.18,1
941.bmp,3,76,55.73,-30.7,13.52,33.54,27.76,2.37,5
942.bmp,0,20,60.98,-4.56,16.41,17.03,4.39,4.4,10
942.bmp,1,40,79.28,-8.89,53.75,54.48,41.92,0.66,4
942.bmp,2,57,59.33,16.33,39.72,42.94,33.8,1.45,3
942.bmp,3,80,60.69,23.72,40.52,46.95,39.13,6.66,3
943.bmp,0,17,26.61,-4.02,23.02,23.37,6.36,6.19,10
943.bmp,1,39,16.44,-2.26,11.76,11.97,16.73,6.82,0
943.bmp,2,60,38.9,-13.79,25.2,28.73,13.53,2.4,5
943.bmp,3,80,30.58,2.75,-11.61,11.93,40.17,2.93,7
944.bmp,0,15,70.58,-4.86,30.94,31.32,14.19,6.13,10
944.bmp,1,39,47.06,42.98,28.02,51.31,48.43,2.72,2
944.bmp,2,57,41.12,13.33,19.08,23.27,17.61,2.63,1
944.bmp,3,78,49.35,-29.42,16.39,33.68,25.3,3.93,5
945.bmp,0,15,54.21,-6.62,24.75,25.62,5.12,1.56,10
945.bmp,1,46,31.04,3.83,9.52,10.26,14.16,3.93,1
945.bmp,2,63,60.45,-23.91,12.78,27.11,23.84,2.59,5
945.bmp,3,79,42.11,9.19,-21.95,23.8,45.75,4.62,7
946.bmp,0,10,74.65,-4.11,2.59,4.86,14.87,2.51,9
946.bmp,1,28,23.6,5.67,18.17,19.04,9.91,3.4,1
946.bmp,2,48,30.98,32.53,26.92,42.23,37.94,1.98,2
946.bmp,3,66,47.97,-4.28,23.56,23.95,6.1,2.05,10
947.bmp,0,23,50.53,-5.09,24.91,25.42,7.53,3.11,10
947.bmp,1,42,56.43,27.5,50.61,57.6,46.63,1.1,3
947.bmp,2,62,16.32,-2.86,3.3,4.36,14.27,2.4,0
947.bmp,3,85,38.45,10.48,34.25,35.82,23.05,9.67,1
948.bmp,0,18,55.48,-4.94,29.02,29.43,12,3.78,10
948.bmp,1,36,44.58,43.95,36.02,56.82,52.18,2.03,2
948.bmp,2,55,80.84,-13.16,75.02,76.16,58.62,1.25,4
948.bmp,3,76,45.93,47.17,30.94,56.41,53.65,2.34,2
949.bmp,0,13,25.15,-10.88,-4.27,11.68,35.01,11.3,1
949.bmp,1,30,12.47,-6.62,-11.19,13,27.25,4.71,0
949.bmp,2,45,13.45,-3.47,-9.84,10.44,28.1,3.77,0
949.bmp,3,60,31.46,10.09,3.2,10.59,42.48,2.46,2
949.bmp,4,78,34.86,18.66,-1.05,18.69,41.66,4.41,2
950.bmp,0,15,32.34,4.73,-34.31,34.64,56.92,3.62,6
950.bmp,1,35,50.92,-2.72,1.66,3.18,20.22,7.71,9
950.bmp,2,54,38.43,21.25,39.88,45.18,32.41,8.47,3
950.bmp,3,79,31.08,-2,18.92,19.03,4.5,8.92,10
951.bmp,0,14,67.01,-3.68,32.73,32.93,6.54,9.72,10
951.bmp,1,41,84.87,-8.03,55.36,55.94,25.24,2.82,4
951.bmp,2,60,69.6,18.58,59.41,62.25,31.09,3.34,3
951.bmp,3,80,70.92,20.62,60.73,64.13,33.28,1.31,3
952.bmp,0,13,27.36,5.69,22.3,23.01,12.96,4.15,1
952.bmp,1,33,41.31,-25.27,15.03,29.4,21.54,1.75,5
952.bmp,2,51,49.07,22.66,43.34,48.91,39.9,1.72,3
952.bmp,3,68,66.08,-6.92,24.44,25.4,11.42,4.6,10
953.bmp,0,38,95.07,-15.09,72.12,73.68,43.91,1.44,4
953.bmp,1,58,23.26,-10.97,4.92,12.02,29.98,8.88,0
953.bmp,2,78,52,47.18,36.75,59.8,45.14,2.64,2
954.bmp,0,12,55.87,-2.52,31.88,31.97,4.25,5.45,10
954.bmp,1,38,66.42,18.11,53.48,56.47,27.53,1.59,3
954.bmp,2,57,69,21.5,55.33,59.36,31.08,1.7,3
954.bmp,3,76,69.32,25.73,61.14,66.34,38.26,1.29,3
955.bmp,0,17,62.4,-2.8,31.17,31.3,7.39,1.93,10
955.bmp,1,42,69.59,-3.06,29.78,29.94,6.73,4.58,10
955.bmp,2,61,50.42,17.67,-43.03,46.52,70.74,1.34,7
955.bmp,3,82,88.25,-12.38,61.95,63.18,38.86,1.29,4
956.bmp,0,26,50.73,17.03,33.94,37.97,26.38,2.66,3
956.bmp,1,47,87.3,-3.56,4.64,5.85,12.8,4.21,9
956.bmp,2,66,56.82,21.97,37.3,43.29,32.33,4.38,3
957.bmp,0,14,54.71,16.05,-40.16,43.24,57.8,1.46,7
957.bmp,1,31,68.93,-27.27,10,29.04,26.57,4.78,5
957.bmp,2,53,40.98,2.5,14.97,15.18,3.67,7.55,1
957.bmp,3,77,65.29,-8.91,24.55,26.11,12.27,9.55,10
958.bmp,0,13,67.65,-8.67,20.25,22.03,8.81,7.19,10
958.bmp,1,43,64.13,29.69,29.44,41.81,32.53,4.91,2
958.bmp,2,62,54.88,36.59,29.84,47.22,39.14,2.86,2
958.bmp,3,79,65.41,-4.25,-6.19,7.51,23.63,4.18,8
959.bmp,0,9,49.59,41.84,22.95,47.73,40.34,0.81,2
959.bmp,1,29,47,19,-44.95,48.8,72.25,1.55,7
959.bmp,2,49,39.07,13.28,30.59,33.35,12.92,1.75,1
959.bmp,3,74,67.96,-3.06,25.97,26.15,4.7,2.84,10
960.bmp,0,17,48.87,-27.95,11.36,30.17,25.2,0.94,5
960.bmp,1,38,31.28,17.24,19.94,26.36,21.62,1.8,1
960.bmp,2,54,52.56,19.75,44.62,48.79,39.86,2.37,3
960.bmp,3,83,45.3,-4.14,21.47,21.86,9.85,3.06,10
961.bmp,0,11,40.8,11.89,22.53,25.48,18.9,1.75,1
961.bmp,1,32,44.53,42.05,19.45,46.33,46.49,2.59,2
961.bmp,2,50,45.19,38.66,26.66,46.96,44.95,2.88,2
961.bmp,3,72,61,-4.59,20.27,20.78,8.22,2.69,10
962.bmp,0,13,34.12,4.59,20.88,21.37,3.43,2.99,1
962.bmp,1,31,53.37,0.75,-3.39,3.47,25.64,6.15,8
962.bmp,2,50,35.59,4.98,24.18,24.69,4.03,2.02,1
962.bmp,3,77,61.69,-2.11,19.3,19.41,4.62,3.66,10
963.bmp,0,23,68.13,-3.92,26.41,26.7,6.34,6.93,10
963.bmp,1,49,34.7,9.42,18.67,20.91,9.09,3.03,1
963.bmp,2,69,45.75,34.94,28.42,45.04,33.56,5.56,2
963.bmp,3,87,43.3,36.22,24.38,43.66,34.49,2.19,2
964.bmp,0,15,61.03,-5.93,28.63,29.24,7.93,6.9,10
964.bmp,1,39,20.05,-5.06,18.23,18.92,8.89,10.69,0
964.bmp,2,60,34.38,8.12,29.94,31.02,8.82,6.85,1
964.bmp,3,77,59.03,-27.02,17.16,32.01,29.02,2.91,5
965.bmp,0,15,58.7,9.36,-29.09,30.56,44.29,5.51,7
965.bmp,1,31,70.07,-20.66,5.33,21.33,21.64,4.83,5
965.bmp,2,49,47.78,1.31,10.8,10.88,3.86,2.31,1
965.bmp,3,78,58.77,-5.56,14.92,15.92,4.81,3.6,10
966.bmp,0,18,47.28,-27.36,10,29.13,23.98,1.76,5
966.bmp,1,37,35.74,15.05,18.61,23.93,19.82,1.77,1
966.bmp,2,55,42.49,44.3,25.8,51.26,49.84,2.09,2
966.bmp,3,77,61.96,-4.59,22.86,23.32,11.51,2.67,10
967.bmp,0,16,54.41,8.46,-15.31,17.49,38.83,2.77,7
967.bmp,1,33,36.24,-15.84,11.24,19.42,18.5,5.38,5
967.bmp,2,57,36.01,29.55,24.62,38.46,30.66,4.56,2
967.bmp,3,80,59.48,-2.89,19.48,19.7,3.4,2.57,10
968.bmp,0,13,52.33,16.06,-17.31,23.62,29.85,3.37,2
968.bmp,1,28,52.37,17.44,-32.22,36.63,23.08,11.29,2
968.bmp,2,44,34.09,3.64,-46.31,46.46,11.26,12.12,0
968.bmp,3,61,33.97,-9.19,-18.33,20.5,20.91,17,0
968.bmp,4,77,43.06,-5.84,-31.53,32.07,7.31,16.21,1
969.bmp,0,13,50.71,12.95,-29.05,31.8,54.02,9.42,7
969.bmp,1,31,57.81,-15.23,22.95,27.55,16.12,3.45,5
969.bmp,2,50,22.56,-7.31,16.33,17.89,10.96,6.51,0
969.bmp,3,75,70.86,-2.41,17.69,17.85,6.77,5.6,10
970.bmp,0,12,69.28,23.5,56.87,61.53,40.19,2.63,3
970.bmp,1,31,66.09,16.82,44.24,47.33,26.06,3.24,3
970.bmp,2,51,65.4,16.76,47.33,50.21,28.51,3.91,3
970.bmp,3,77,61.36,-2.79,23.41,23.57,3.47,6.32,10
971.bmp,0,12,67.23,-5.87,21.25,22.05,8.22,7.57,10
971.bmp,1,37,53.8,32.2,19.36,37.57,30.39,2.62,2
971.bmp,2,56,39.48,-5.18,5.41,7.49,14.71,9.16,0
971.bmp,3,78,47.45,5.84,9.56,11.21,9.66,4.24,1
972.bmp,0,10,79.22,-13.12,59.16,60.59,42.4,2.33,4
972.bmp,1,31,45.12,14.02,-37.56,40.09,58.21,1.11,7
972.bmp,2,49,45.28,-3.44,20.41,20.69,4.58,1.89,10
972.bmp,3,79,46.8,-3.95,23.08,23.41,6.28,2.59,10
973.bmp,0,13,44.16,45.09,21.81,50.09,50.51,1.2,2
973.bmp,1,34,80.32,-15.06,71.2,72.78,60.75,1.5,4
973.bmp,2,51,43.6,43.72,24.36,50.05,49.76,1.89,2
973.bmp,3,70,61.71,-4.48,22.7,23.14,11.3,1.31,10
974.bmp,0,17,62.52,21.5,32.32,38.82,36.47,3.02,3
974.bmp,1,36,94.37,-2.78,-3,4.09,7.59,8.03,9
974.bmp,2,58,59.78,21.18,25.48,33.14,31.34,4.09,3
974.bmp,3,79,67.84,-4.26,16.95,17.48,12.56,9.22,10
975.bmp,0,18,63.43,-4.59,-6.04,7.59,23.48,6.58,8
975.bmp,1,34,52.04,29.7,28.51,41.17,32.09,1.97,2
975.bmp,2,50,53.43,25.65,28.48,38.32,28.32,6.07,2
975.bmp,3,77,61.31,-9.62,23.92,25.79,11.62,3.23,10
976.bmp,0,19,78.97,-4.73,15.27,15.98,11.2,3.07,10
976.bmp,1,40,65.33,19.47,28.28,34.33,32.08,2.87,3
976.bmp,2,58,54.55,-22.62,7.2,23.74,20.84,1.05,5
976.bmp,3,81,48.58,3.08,22.08,22.29,18.37,12.05,1
977.bmp,0,13,43.95,43.78,29.02,52.53,42.37,1.91,2
977.bmp,1,32,19.53,-6.15,16.71,17.81,10.36,8.42,0
977.bmp,2,53,87.37,-14.08,62.91,64.47,42.62,2.03,4
977.bmp,3,79,68.51,-4.27,26,26.35,6.62,3.61,10
978.bmp,0,18,35.27,13.67,26.44,29.76,22.78,1.97,1
978.bmp,1,36,16.97,-7.61,13.58,15.56,4.45,6.02,0
978.bmp,2,57,51.71,21.83,45.41,50.38,42.31,4.44,3
978.bmp,3,78,48.05,-4.97,20.61,21.2,9.11,11.28,10
979.bmp,0,15,47.81,-5.72,17.41,18.32,9.94,8.81,10
979.bmp,1,38,57.7,23.56,43.2,49.21,44.38,1.98,3
979.bmp,2,57,81.04,-1,-11.66,11.7,19.58,2.42,9
979.bmp,3,76,53.14,5.77,-45.11,45.48,53.66,2.01,6
980.bmp,0,13,45.46,-0.41,13.45,13.45,1.82,3.09,1
980.bmp,1,29,43.41,5.61,-40.13,40.52,52.38,1.75,6
980.bmp,2,45,36.24,27.62,28.55,39.73,31.56,7.03,2
980.bmp,3,80,57.42,-7.93,16.78,18.56,9.88,4.52,10
981.bmp,0,16,66.4,-1.69,23.69,23.75,2.79,1.45,10
981.bmp,1,45,67.29,20.12,44.16,48.53,29.09,1.2,3
981.bmp,2,61,26.53,-8.45,12.7,15.26,13.41,2.01,0
981.bmp,3,79,47.82,24.53,25.27,35.22,23.91,2.05,2
982.bmp,0,22,71.96,-7.38,29.81,30.71,11.74,5.73,10
982.bmp,1,44,21.29,-2.14,-0.58,2.22,19.34,1.72,0
982.bmp,2,62,64.55,-5.86,-3.17,6.66,22,1.52,8
983.bmp,0,18,70.08,-1.84,22.97,23.04,3.39,7.77,10
983.bmp,1,42,51.26,34.84,23.7,42.14,33.93,2.17,2
983.bmp,2,61,26.04,-13.2,16.25,20.94,15.04,7.49,0
983.bmp,3,82,43.01,11.94,14.56,18.83,12.75,1.69,1
984.bmp,0,22,71.14,-3.7,16.98,17.37,10.32,7.58,10
984.bmp,1,39,47.65,30.23,19.83,36.16,34.91,3.78,2
984.bmp,2,60,41.13,4.2,14.88,15.46,10.3,8.27,1
984.bmp,3,81,90.82,-2.01,-2.95,3.57,9.73,7.25,9
985.bmp,0,10,52.92,10.68,-27.61,29.6,46.61,0.72,7
985.bmp,1,31,56.32,-22.42,10.7,24.84,23.52,1.48,5
985.bmp,2,56,78.16,-14.52,71.95,73.4,56.11,1.68,4
985.bmp,3,87,59.95,-7.59,24.02,25.2,9.85,5.68,10
986.bmp,0,9,65.08,-3.35,17.88,18.19,5.52,8.02,10
986.bmp,1,32,53.24,28.97,17.66,33.93,27.44,4.58,2
986.bmp,2,52,32.9,-6.72,1.27,6.84,20.73,5.81,0
986.bmp,3,73,49.97,6.27,10.5,12.23,10.77,3.32,1
987.bmp,0,15,47.53,-4.03,7.61,8.61,7.14,11.68,10
987.bmp,1,37,49.1,29.84,27.83,40.81,39.34,1.1,3
987.bmp,2,57,48.8,28.61,31.2,42.33,40.77,1.96,3
987.bmp,3,72,51.95,30.31,33.33,45.05,43.49,1.56,3
988.bmp,0,19,44.78,-3.91,11.47,12.12,11.61,6.14,10
988.bmp,1,37,37.2,30.37,14.51,33.65,35.49,7.58,2
988.bmp,2,53,42.97,12.63,-16.16,20.51,21.84,4.09,7
988.bmp,3,73,69.17,-15.95,44.11,46.9,46.24,2.37,4
989.bmp,0,17,53.16,-5.69,12.05,13.33,10.24,8.88,10
989.bmp,1,40,44.95,25.39,27.01,37.07,35.77,1.83,3
989.bmp,2,59,43.96,25.8,25.32,36.15,34.96,2.42,3
989.bmp,3,75,46.43,30.2,28.8,41.73,40.57,1.78,3
990.bmp,0,16,43.05,-3.49,3.98,5.29,3.96,8.6,10
990.bmp,1,34,31.25,27.72,10.59,29.67,31.53,2.89,2
990.bmp,2,50,36.88,9.97,-13.75,16.98,18.5,4.62,7
990.bmp,3,71,66.14,-13.54,36.81,39.22,38.29,3.23,4
991.bmp,0,14,32.03,2.12,-10.24,10.46,19.88,3.33,8
991.bmp,1,33,27.03,25.04,18.02,30.85,25.29,3.71,2
991.bmp,2,51,28.96,22.73,14.42,26.92,22.07,4.46,2
991.bmp,3,77,35.99,-1.19,12.91,12.97,4.06,3.51,10
992.bmp,0,20,50.2,-1.25,11.05,11.13,9.8,7.18,10
992.bmp,1,40,39.76,28.77,9.36,30.25,32.74,7.9,2
992.bmp,2,60,62.9,-15.98,44.84,47.6,45.32,4.28,4
992.bmp,3,80,41.6,29.27,9.91,30.91,33.37,2.82,2
993.bmp,0,16,24.04,12.09,14.39,18.79,11.14,4.39,1
993.bmp,1,37,6.08,6.16,2.18,6.54,9.96,6.72,0
993.bmp,2,58,37.07,24.41,15.93,29.15,23.46,7,2
993.bmp,3,82,41.22,1.7,12.36,12.48,1.41,4.35,10
994.bmp,0,17,32.15,8.05,5.73,9.88,12.29,1.53,1
994.bmp,1,35,54.48,-2.11,-5.7,6.08,19.31,1.69,8
994.bmp,2,56,33.42,9.2,15.42,17.96,10.77,1.7,1
994.bmp,3,82,53.9,-1.52,13.36,13.45,0.26,4.29,10
995.bmp,0,17,41.12,13.03,-18.23,22.41,40.28,1.56,7
995.bmp,1,36,22.21,-12.91,5.72,14.12,18.59,8.09,5
995.bmp,2,61,26.85,28.12,23.81,36.85,29.04,1.48,2
995.bmp,3,88,41.73,-0.52,24.56,24.57,4.9,5.37,10
996.bmp,0,12,28.61,11.23,13.45,17.52,11.48,2.75,1
996.bmp,1,35,32.43,2.39,-2.92,3.78,12.17,16.48,0
996.bmp,2,55,36.4,26.85,13.88,30.22,26.69,3.86,2
996.bmp,3,79,43.51,0.11,11.21,11.21,2.15,4.06,10
997.bmp,0,18,56.52,-2.28,7.47,7.81,8.3,3.3,10
997.bmp,1,42,44.07,25.36,9.41,27.05,30.54,6.98,2
997.bmp,2,62,35.97,9.66,8.55,12.9,16.07,2.61,1
997.bmp,3,80,42.27,-23.31,-1.98,23.4,19.91,2.39,5
998.bmp,0,19,59.14,-2.35,9.65,9.93,9.06,3.98,10
998.bmp,1,43,44.52,30.26,9.26,31.64,35.34,3.34,2
998.bmp,2,63,43.65,30.08,10.84,31.97,35.58,4.05,2
998.bmp,3,83,40.37,9.62,6.12,11.4,14.67,2.07,1
999.bmp,0,12,19.29,24.45,-1.62,24.51,36.44,1.71,2
999.bmp,1,31,13.86,21.36,-3.78,21.69,32.97,1.45,2
999.bmp,2,47,0.2,1.42,-3.86,4.11,28.31,0.08,0
999.bmp,3,62,0.32,2.2,-6,6.39,26.1,0.44,0
999.bmp,4,81,4.97,5.73,-4.91,7.55,27.15,3.23,1
1000.bmp,0,9,36.62,-0.58,11.84,11.86,2.6,10.07,10
1000.bmp,1,42,56.04,-7.67,27.28,28.34,15.08,7.39,4
1000.bmp,2,59,14.05,3.77,-0.06,3.77,14.88,7.81,0
1000.bmp,3,82,39.12,28.62,14.62,32.14,28.53,2.49,2
1001.bmp,0,13,49.76,-12.89,7.09,14.71,16.58,3.87,5
1001.bmp,1,33,30.11,14.5,18.3,23.35,13.1,1.83,1
1001.bmp,2,53,14.84,5.23,4.75,7.07,10.2,5.66,0
1001.bmp,3,79,63.57,1.42,19.92,19.97,5.53,6.87,10
1002.bmp,0,14,33.04,1.97,18.92,19.02,11.85,5.59,10
1002.bmp,1,42,35.94,12.81,31.39,33.9,27.92,2.89,3
1002.bmp,2,61,17.55,17.39,9.95,20.04,19.65,2.63,1
1002.bmp,3,82,30.44,-17.98,1.61,18.06,17.01,4.18,5
1003.bmp,0,13,42.2,23.25,-41.7,47.74,54.11,1.29,7
1003.bmp,1,29,49.31,-18.61,0.09,18.61,20.49,2.25,5
1003.bmp,2,48,32.17,9.79,-0.81,9.82,12.39,7.09,1
1003.bmp,3,84,39.93,-1.26,15.52,15.57,8.3,6.71,10
1004.bmp,0,14,69.68,0.31,-10.45,10.46,14.82,4.55,9
1004.bmp,1,34,17.43,11.66,15.22,19.17,15.28,4.98,1
1004.bmp,2,54,26.44,28.47,20.94,35.34,32.16,4.98,2
1004.bmp,3,73,34.42,5.2,13.67,14.63,10.26,4.91,10
1005.bmp,0,13,18.04,9.8,6.34,11.67,10.46,4.49,1
1005.bmp,1,35,20.19,-14.31,3.09,14.64,14.99,3.12,5
1005.bmp,2,55,35.1,15.95,24.5,29.24,27.74,1.4,3
1005.bmp,3,74,36.62,0.14,7.2,7.2,5.81,2.62,10
1006.bmp,0,8,31.28,2.52,6.18,6.68,6.07,7.87,10
1006.bmp,1,28,39.08,10.89,15.66,19.07,18.59,3.04,3
1006.bmp,2,51,56.9,2.01,-5.98,6.31,7.16,18.26,9
1006.bmp,3,70,43.01,16.58,27.19,31.84,31.32,5,3
1007.bmp,0,13,58.76,1.06,-20.12,20.15,26.05,1.18,8
1007.bmp,1,31,56,30.09,11.61,32.26,33.59,2.24,2
1007.bmp,2,48,56.12,31.04,12.44,33.44,34.68,1.64,2
1007.bmp,3,76,61.73,-5.78,4.52,7.34,3.02,5.2,10
1008.bmp,0,13,44.77,0.09,15.2,15.2,0.41,8.81,10
1008.bmp,1,39,27.76,11.66,8.32,14.33,13.74,8.21,1
1008.bmp,2,63,31.61,15.8,-29.84,33.77,48.11,5.33,7
1008.bmp,3,84,39.94,27.04,12.77,29.9,27.17,2.94,2
1009.bmp,0,16,57.63,-1.48,11.3,11.39,3.77,3.79,10
1009.bmp,1,40,40.59,9.47,-0.48,9.48,13.02,5.81,1
1009.bmp,2,62,58,-15.87,-2.69,16.09,18.29,4.42,5
1009.bmp,3,81,54.47,23.88,-46.89,52.62,59.8,5.68,7
1010.bmp,0,15,51.9,16.23,-41.48,44.55,55.77,1.27,7
1010.bmp,1,36,59.01,-22.61,6.89,23.64,18.82,1.81,5
1010.bmp,2,59,27.34,0.47,-14.75,14.76,25.6,8.71,0
1010.bmp,3,85,73.87,-5.27,8.53,10.03,2.22,5.67,10
1011.bmp,0,4,39.64,-0.99,1.15,1.52,5.08,8.74,10
1011.bmp,1,29,35.12,22.01,9.02,23.78,22.43,3.61,2
1011.bmp,2,50,11.93,0.84,-6.69,6.74,12.91,10.99,0
1011.bmp,3,71,24.47,11.11,9.28,14.48,11.77,2.46,1
1012.bmp,0,42,18.97,5,5.12,7.16,18.98,7.46,1
1012.bmp,1,63,16.78,16.94,21.03,27,14.74,1.2,2
1012.bmp,2,82,20.93,23.78,23.23,33.25,21.31,0.83,2
1013.bmp,0,18,70.16,-3.05,12.02,12.4,0.57,8.93,10
1013.bmp,1,49,67.58,12.02,35.43,37.41,27.27,2.6,3
1013.bmp,2,68,10.18,1.73,-2.58,3.11,15.74,2.2,0
1013.bmp,3,86,45.33,27.03,19.48,33.32,30.59,2.59,2
1014.bmp,0,20,59.6,-2.23,3.35,4.03,5.53,5.82,10
1014.bmp,1,42,60.01,14.72,24.59,28.66,32.65,2.22,3
1014.bmp,2,61,20.45,1.44,-10.48,10.57,11.02,6.2,0
1014.bmp,3,83,43.33,10.59,4.26,11.42,16.55,2.11,1
1015.bmp,0,3,16.2,13.44,9.94,16.71,11.49,2.72,1
1015.bmp,1,27,39.62,1.33,-3.28,3.54,13.86,3.12,8
1015.bmp,2,49,8.46,5.7,12,13.29,4.01,10.56,0
1015.bmp,3,71,36.3,1.77,19.12,19.21,8.56,3.11,10
1016.bmp,0,38,20.95,5.02,19.06,19.71,4.29,8.39,1
1016.bmp,1,62,21.17,13.32,-28.59,31.54,48.19,2.93,7
1016.bmp,2,86,55.89,-8.94,31.41,32.65,16.64,2.49,4
1017.bmp,0,10,59.29,12.17,33.74,35.87,20.62,2.06,3
1017.bmp,1,31,55.98,11.02,32.84,34.64,19.33,3.38,3
1017.bmp,2,52,60.6,-6.12,37.07,37.57,23.98,3.15,4
1017.bmp,3,79,36.33,2.23,18.49,18.63,3.62,4.84,10
1018.bmp,0,16,61.58,-2.76,0.58,2.82,5.34,6.9,10
1018.bmp,1,42,63.06,17.48,26.47,31.72,38.19,5.02,3
1018.bmp,2,61,83.15,-3.29,-20.17,20.44,16.5,2.22,9
1019.bmp,0,18,46.42,-3.28,28.12,28.32,7.49,2.71,10
1019.bmp,1,37,36.85,36.83,28.56,46.61,43.55,2.97,2
1019.bmp,2,55,67.69,-14.12,58.61,60.29,38.28,3.79,4
1019.bmp,3,75,39.29,38.78,29.39,48.66,45.62,1.86,2
1020.bmp,0,16,46.56,-3.84,27.33,27.6,6.04,6.38,10
1020.bmp,1,38,34.11,38.11,29.47,48.17,44.25,3.15,2
1020.bmp,2,55,28.66,14.44,21.67,26.04,19.86,1.53,1
1020.bmp,3,73,42.61,-28.67,17.84,33.77,23.54,1.31,5
1021.bmp,0,12,57.26,-2.33,34.27,34.34,4.69,4.53,10
1021.bmp,1,36,34.67,13.48,27.44,30.57,12.54,1.6,1
1021.bmp,2,57,42.77,10.44,-22.41,24.72,55.62,1.57,7
1021.bmp,3,77,46.62,36.52,33.52,49.56,34.48,2.99,2
1022.bmp,0,10,57.79,-2.73,22.97,23.13,3.08,4.46,10
1022.bmp,1,39,59.58,19.89,42.38,46.81,32.21,3.1,3
1022.bmp,2,57,42.68,12.86,18.61,22.62,16.12,6.11,1
1022.bmp,3,76,60.08,-28.11,17.7,33.22,25,1.35,5
1023.bmp,0,17,39.26,-5.7,22.75,23.45,4.72,3.09,10
1023.bmp,1,38,44.3,23.78,38.98,45.67,36.16,3.18,3
1023.bmp,2,57,12.35,-5.56,12.42,13.61,5.61,5.18,0
1023.bmp,3,76,30.77,14.2,22.3,26.44,20.34,1.03,1
1024.bmp,0,38,42.76,34.05,22.53,40.83,38.37,6.67,2
1024.bmp,1,56,45.18,31.06,22.27,38.22,35.38,6.94,2
1024.bmp,2,74,45.13,11.17,16.33,19.78,15.08,1.72,1
1025.bmp,0,13,24.38,-4.8,20.89,21.44,4,4.15,10
1025.bmp,1,37,20.29,3.2,16.26,16.57,5.31,3.28,1
1025.bmp,2,57,39,-12.36,14.73,19.23,11.36,4.23,5
1025.bmp,3,75,28.74,10.44,-23.65,25.85,43.81,2.66,7
1026.bmp,0,34,76.92,-11.31,62.78,63.79,34.42,3,4
1026.bmp,1,54,21.17,-9.52,18.22,20.55,16.72,2.6,0
1026.bmp,2,74,43.23,40.14,37.53,54.95,39.25,1.61,2
1027.bmp,0,9,33.62,8.66,17.77,19.76,9.04,9.91,1
1027.bmp,1,30,25.93,-8.33,17.36,19.25,14,5.61,0
1027.bmp,2,49,42.64,33.27,26.2,42.35,29.94,1.41,2
1028.bmp,0,11,49.76,-2.69,1,2.87,18.38,2.36,8
1028.bmp,1,30,39.79,37.8,22.67,44.08,37.61,3.93,2
1028.bmp,2,48,43.44,33.23,26.02,42.21,33.59,5.96,2
1028.bmp,3,77,48.71,-5.44,21.94,22.6,6.44,3.7,10
1029.bmp,0,11,42.9,2.73,11.59,11.91,5.55,1.85,1
1029.bmp,1,34,52.74,-18.92,10.31,21.55,16.32,1.81,5
1029.bmp,2,52,55.66,17.94,23.41,29.49,23.39,0.61,3
1029.bmp,3,70,61.07,-3.16,15.98,16.29,3.52,4.64,10
1030.bmp,0,12,44.9,-15.8,24.73,29.35,16.29,3.03,5
1030.bmp,1,31,23.63,10.38,27.83,29.7,11.15,1.91,1
1030.bmp,2,51,12.81,-3.5,18.44,18.77,12.27,4.52,0
1030.bmp,3,74,50.9,-3.34,28.7,28.9,3.28,3.91,10
1031.bmp,0,10,71.25,-8.22,28.7,29.86,10.21,4.76,10
